id,userName,title,artist,genre,year,listenedQty
33,Danika Moseley,Dublin,Kassey Rosette,barbadian pop,2017,60
34,Basia Donell,Taiyuan,Angela Mehalek,electropop,2009,40
35,Henriette Teryn,Kaliningrad,Ruthe Therine,dance pop,2017,71
36,Gertrud Sasnett,Linz,Georgetta Aurelio,canadian pop,2012,58
37,Leeanne Abram,Suez,Merrie Joeann,dance pop,2004,18
38,Kittie Dosia,Ipoh,Raf Kylander,electropop,2010,32
39,Phedra Bach,Tampa,Atlanta Abram,dance pop,2005,76
40,Gwyneth Saunderson,Bucharest,Nonnah Pandolfi,dance pop,2013,72
41,Netty Joni,Port Elizabeth,Corly Travax,canadian contemporary r&b,2007,70
42,Brooks Graig,Yakutsk,Dennie Erminia,pop,2000,60
43,Norine Chabot,Calama,Karolina Bord,pop,2000,54
44,Beatriz Westphal,Albuquerque,Donetta Fennessy,british soul,2021,28
45,Dari Grimbly,City of Halifax,Gavrielle Buffum,pop,2005,20
46,Jordan Phaidra,Naples,Minne Nikaniki,dance pop,2000,29
47,Vonny Zenas,Gaborone,Donetta Olympium,pop,2008,74
48,Theodora Goerke,New York City,Lory Oneida,pop,2022,80
49,Elka Erlandson,Lusaka,Rosene Glovsky,neo mellow,2016,35
50,Wanda Maroney,Prague,Danika Stevy,edm,2022,23
51,Jasmina Gerge,Porto Alegre,Brandise Cimbura,british soul,2001,50
52,Rubie Reinke,Dili,Netty Keelia,british soul,2008,52
53,Alleen Tatianas,Wellington,Vonny Fleeta,canadian contemporary r&b,2010,66
54,Shaylyn Ledah,Kinshasa,Oona Tound,neo mellow,2014,79
55,Hyacinthe Pierette,Banda Aceh,Leona Izaak,latin,2007,70
56,Nananne Abram,Darwin,Carilyn Waite,barbadian pop,1999,44
57,Stephanie Egbert,London,Beth Duwalt,pop,2009,28
58,Netty Hylan,N'Djamena,Lory Cloris,hip pop,2018,24
59,Brooks Emerson,Islamabad,Vivia Kathie,boy band,2001,37
60,Daune Grimbly,Kyoto,Jennica Zaslow,dance pop,2013,29
61,Barbi Gilbertson,Antananarivo,Winifred Hutchison,british soul,2000,79
62,Bernie Skurnik,San Francisco,Dagmar Barney,electropop,2010,63
63,Ilse Quinn,Brussels,Brandise Suk,edm,1999,27
64,Desirae Tengdin,Malé,Kimberley Bow,canadian pop,2020,57
65,Leeanne Turne,Nukus,Hildegaard Lynn,pop,2012,48
66,Leontine Minetta,Asunción,Violet Heisel,dance pop,2010,30
67,Maurene Morgun,Dakar,Asia Westphal,pop,2013,30
68,Lelah Koehler,Cartagena,Pollyanna Greenwald,big room,2007,38
69,Gavrielle Raama,Roseau,Daryl Rona,pop,2005,33
70,Andree Lia,Nairobi,Reeba Arvo,neo mellow,2015,68
71,Nannie Barney,Maracaibo,Ira Alarise,barbadian pop,2009,19
72,Glenda Stevy,Split (city),Edyth Croix,boy band,1999,30
73,Gisela Diann,Wuhan,Mary Autrey,canadian pop,2018,53
74,Veda Hanshaw,Surat,Emilia Oster,boy band,2000,36
75,Fawne Bord,Louisville,Kore Lemuela,barbadian pop,2007,66
76,Olwen Buttaro,Yaoundé,Glenda Oster,canadian pop,2006,30
77,Wilma Jenness,Zanzibar City,Christian Valoniah,hip pop,2012,58
78,Emylee Mintz,Tel Aviv,Emylee Jarib,big room,2003,78
79,Joceline Gherardo,Harare,Jenda Sherfield,latin,2000,69
80,Tonia Lorain,Reykjavík,Elsie Charmine,big room,2013,60
81,Althea Hubert,Winnipeg,Mureil Gamaliel,barbadian pop,2008,76
82,Roslyn Jena,Omsk,Mamie Skell,big room,2009,42
83,Romona Peg,Lobamba,Feliza Malanie,canadian pop,2019,54
84,Claresta Prouty,Cincinnati,Roz Lory,big room,2016,48
85,Max Jess,Prague,Shell Thar,boy band,2001,48
86,Carol-Jean Raseda,Tucson,Cristabel Reidar,latin,2012,61
87,Coral Klotz,Namangan,Emma Bettine,pop,2020,49
88,Amelia Adalbert,Beijing,Inga Alisia,british soul,1999,62
89,Anica Kimmie,Marseille,Fayre Septima,electropop,2022,39
90,Tilly Lubin,Leeds,Oralee Cleavland,pop,2013,53
91,Lexine Killigrew,Kaliningrad,Cristabel Konyn,dance pop,2003,76
92,Demetris Ingra,Nicosia,Karina Standing,dance pop,2015,52
93,Arlina Barney,Ashgabat,Carol-Jean Haldas,pop,2001,48
94,Zsa Zsa Philoo,Ibiza,Merry Chaing,barbadian pop,2011,38
95,Fidelia Hoenack,Mumbai,Nikki Carbo,boy band,2018,61
96,Leontine Read,Pago Pago,Lorie Winthorpe,pop,2006,76
97,Kylynn Karylin,Vatican City,Tracey Fiester,barbadian pop,2014,74
98,Farrah Sandye,Guayaquil,Nickie Haldas,pop,2006,67
99,Ronna Wittie,Caracas,Kimberley Saree,british soul,2009,77
100,Petronia Mathilde,Honiara,Ileana Vanni,boy band,2000,49
101,Pollyanna Ciapas,Phnom Penh,Gusella Hirsch,dance pop,2010,52
102,Imojean Podvin,Malé,Cathyleen Carey,pop,2011,75
103,Daryl Cullin,Anadyr (town),Miquela Doig,barbadian pop,2001,44
104,Trixi Standing,Rawalpindi,Britni Therine,british soul,2012,65
105,Annice Oneida,Montevideo,Reeba Mott,neo mellow,2009,33
106,Julieta Loeb,Avarua,Claudina Fairweather,big room,2020,64
107,Estell Erskine,Fort-de-France,Jany Wolfgram,art pop,2001,75
108,Darlleen Waite,Dededo,Mady Susannah,pop,2015,24
109,Pearline Wattenberg,Moscow,Marline Juliet,boy band,2016,21
110,Mariann Susannah,Havana,Genovera Goode,dance pop,2012,78
111,Eve Allare,Shanghai,Nollie Janene,hip pop,2013,39
112,Alyda Goddard,Iqaluit,Kathy Seessel,british soul,2011,70
113,Winny Jaylene,Nicosia,Micheline Wu,barbadian pop,2009,71
114,Mahalia Magnolia,Malacca Town,Rubie Tayib,big room,2001,32
115,Charissa Ferino,Saint John,Marsiella Othilia,latin,2005,58
116,Fanny Lorain,Enugu,Leia Rugen,boy band,2019,44
117,Aaren Brian,Rawalpindi,Calla Burkle,pop,2000,42
118,Merrie Ophelia,Moroni,Pierette Warthman,art pop,2013,55
119,Rori Gualtiero,Maracaibo,Danny Faria,neo mellow,2010,77
120,Ofilia Cookie,Kanpur,Camile Weitman,boy band,2005,27
121,Lucille Sisile,Ankara,Tera Alabaster,boy band,2011,34
122,Elvira Auberbach,Okinawa,Margarette Shuler,canadian contemporary r&b,2009,56
123,Jorry Kiersten,Damascus,Rhoda Voletta,canadian contemporary r&b,2003,73
124,Tierney Henrie,Bratislava,Barbara Tybald,boy band,2009,77
125,Ulrike Borrell,Zhengzhou,Deirdre Secrest,hip pop,2007,55
126,Candy Carlson,Sana'a,Hallie Fabiola,british soul,2008,34
127,Marjie Darbie,Kandahar,Sheelagh Maples,latin,2006,45
128,Pamella Bertold,Suez,Tarra McLaughlin,edm,2016,23
129,Joeann Levey,Rabat,Catrina Burkle,hip pop,2014,22
130,Sabina Raseda,Jakarta,Mara Argus,barbadian pop,2005,24
131,Tybie Blake,Saskatoon,Angela Adlare,electropop,1999,53
132,Heddie Faust,Gaborone,Lanna Glenden,electropop,2008,67
133,Alisha Jacobah,Providence,Magdalena Shelba,canadian pop,2010,28
134,Kate Cutlerr,Sri Jayawardenapura-Kotte,Gretal Ortrude,electropop,1999,54
135,Merry Hanleigh,Kigali,Adriana Idelia,dance pop,2004,28
136,Emelina Frendel,Fortaleza,Damaris Etom,british soul,2001,43
137,Kenna Stefa,Puebla,Doro Norvol,dance pop,2014,37
138,Trudie Egbert,Thimphu,Morganica Maroney,canadian contemporary r&b,2020,21
139,Nollie Trinetta,Manaus,Charissa Tyson,hip pop,2016,22
140,Dulcinea Tremayne,Linz,Sarette Elo,boy band,2017,76
141,Sue Simmonds,Charlotte,Shandie Lindemann,dance pop,2008,48
142,Romona Eldrid,Tskhinvali,Emelina Dorcy,latin,2005,32
143,Latisha Adrienne,Horta (Azores),Margette Dash,neo mellow,2018,55
144,Babita Zitvaa,Bridgetown,Bee Aurelio,dance pop,2017,38
145,Kathi Carey,Ndola,Keelia Sheng,barbadian pop,2015,79
146,Danny Diogenes,Cologne,Charmaine Carey,big room,2003,18
147,Adore An,Bujumbura,Loree Sikorski,british soul,2010,64
148,Kirbee Emerson,Valdivia,Blinni Graig,art pop,2000,62
149,Marguerite Judye,Cannes,Sharai Tillford,dance pop,2014,43
150,Lanna Tiffa,Chuí,Rani Hoenack,dance pop,2012,74
151,Beth Vary,Apia,Cecile Ezar,barbadian pop,2001,29
152,Tarra Flita,Rabat,Delilah Lymann,boy band,2013,42
153,Suzette Blisse,Fort-de-France,Linzy Quent,latin,2004,46
154,Grier Shuler,Bogotá,Cherilyn Madox,pop,2021,35
155,Maryellen Chandler,Kraków,Henriette Gibbeon,latin,2011,48
156,Jaime Charity,Budapest,Aubrie Dreda,edm,2004,42
157,Lila Stephie,Buenos Aires,Aigneis Gilmour,canadian pop,2016,78
158,Donnie Pauly,Multan,Viki Telfer,latin,2012,34
159,Micheline Sadowski,Ilhéus,Annice Ambrosia,big room,2017,20
160,Sam Schalles,Ipoh,Caritta Margarete,pop,2004,28
161,Arlena Tryck,Serekunda,Carmela Francyne,boy band,2006,32
162,Wynne Johnsson,Oklahoma City,Lynea Katrine,dance pop,2017,25
163,Nickie Goode,Naypyidaw,Carree Madelene,boy band,2014,66
164,Gwyneth Monaco,Livingstone,Lila Howlyn,boy band,2005,79
165,Latisha Kamaria,Malmö,Elise Sperling,dance pop,2006,52
166,Amii Brian,Bucharest,Jenilee Brackely,big room,2003,48
167,Lauryn Tiffa,Hanover,Agnese Bonucci,british soul,2013,65
168,Paulita Cyrie,Nukulaelae,Meriel Hewitt,hip pop,2015,42
169,Paola Krystle,Lanzhou,Ana Mayeda,latin,2011,65
170,Jinny Maroney,Cotonou,Aigneis Bach,canadian pop,2017,26
171,Gusty Bluh,El Paso,Tilly Harday,british soul,1999,77
172,Desirae Alva,Chittagong,Lauryn Arne,big room,2004,66
173,Dorthy Kirbee,Alofi,Merrie Naor,dance pop,2001,79
174,Glynnis Heisel,Ushuaia,Marcelline Vivle,art pop,2011,58
175,Jillayne Saunderson,Guadalajara,Shaine Allina,hip pop,2002,30
176,Patricia Mike,Chiang Mai,Fredericka Mauer,canadian contemporary r&b,2004,30
177,Jsandye Kiersten,Honiara,Cassandra Bow,boy band,2003,61
178,Elfreda Carmena,Novosibirsk,Alisha Sabella,pop,2006,44
179,Elsie Lilas,London,Susette Fillbert,art pop,2011,49
180,Mariele Halsey,Porto Alegre,Noelle Pernick,hip pop,2021,46
181,Lanae Vernier,Izmir,Jacenta Sheng,canadian contemporary r&b,2001,74
182,Cathyleen Tannie,Yaoundé,Danika Kunin,neo mellow,2000,31
183,Carol-Jean Shuler,Antofagasta,Trixi Felizio,latin,2021,62
184,Alexine Susannah,Geneva,Letizia Peg,boy band,2016,23
185,Karina Verger,Longyearbyen,Phylis Madelene,electropop,2017,66
186,Brianna Hubert,Warsaw,Berta Loring,dance pop,2018,70
187,Brianna Matthew,Guangzhou,Millie Even,electropop,2003,49
188,Morganica Shama,Dallas,Ileana Roxanna,latin,2010,27
189,Amalie Fennessy,Mamoudzou,Zondra Sancho,neo mellow,2022,44
190,Kamilah Dawkins,Austin,Tonia Mike,latin,2017,80
191,Florencia Sundin,Belmopan,Jean Tjon,canadian contemporary r&b,2000,57
192,Dyann Lutero,Yekaterinburg,Myrtice Eckblad,canadian contemporary r&b,2006,49
193,Rosabelle Anyah,Santa Cruz de Tenerife,Cristabel Oscar,canadian contemporary r&b,2012,19
194,Mignon Taam,Longyearbyen,Lesly Cohdwell,latin,2002,68
195,Jorry Sasnett,Nouméa,Jillayne Florina,neo mellow,1999,45
196,Tamqrah Levey,Hanover,Marti Douglass,big room,2018,41
197,Helsa Gordon,Tampere,Maridel Ralfston,edm,2016,26
198,Wynne Center,Kawasaki,Celestyna Bettine,dance pop,2021,52
199,Benita Georas,Handan,Janey Quent,electropop,2014,75
200,Madalyn Arathorn,Ludhiana,Nanete Ambrosia,big room,2010,72
201,Kial Gusella,Montevideo,Dale Clie,canadian pop,2017,57
202,Wilma Thomasina,Accra,Ekaterina Clara,boy band,2005,40
203,Myriam Xerxes,Chengdu,Drucie Phaidra,neo mellow,2005,63
204,Tori Bahr,Ashgabat,Delilah Hurley,art pop,2005,76
205,Nariko Jalbert,Paramaribo,Aurore Eno,barbadian pop,2019,22
206,Merci Suzetta,Simferopol,Nannie Taam,neo mellow,2000,61
207,Joelly Ethban,Port Elizabeth,Carolina Whittaker,latin,2016,19
208,Gale Vanni,Nagoya,Eolanda Rona,electropop,2010,76
209,Luci Franza,Siem Reap,Lusa Sothena,pop,2017,72
210,Tierney Stacy,Virginia Beach,Harrietta Hourigan,electropop,2008,47
211,Alex Carvey,Road Town,Nickie Amasa,barbadian pop,2011,68
212,Rhea Lewes,Tórshavn,Binny Moina,british soul,1999,52
213,Ingrid Stevy,Taiyuan,Caritta Payson,big room,1999,63
214,Blondelle Nerita,Adamstown,Feliza Nance,pop,2012,35
215,Carol-Jean Thunell,Abuja,Tori Mata,british soul,2017,39
216,Dari Wiener,Zhengzhou,Cacilie Jobi,electropop,2017,34
217,Josephine Cristi,Charlotte Amalie,Korrie Rustice,dance pop,2021,25
218,Perry Garrison,Madrid,Shauna Dorothy,latin,2007,58
219,Kylynn Eno,Izmir,Cassandra Ralfston,latin,2000,70
220,Mallory Aldric,Abu Dhabi,Sue Cloris,british soul,2009,46
221,Nerta McLaughlin,Hanoi,Rani Herrera,canadian pop,2016,65
222,Vivia Modie,Indianapolis,Debee Autrey,art pop,2005,19
223,Audrie Karl,Vienna,Wynne Mott,british soul,2006,18
224,Jorry Koziara,Vancouver,Corry Masao,hip pop,2005,55
225,Lyssa Ogren,Luanda,Harrietta Bandeen,edm,2022,50
226,Imojean Timon,Calama,Amara McAdams,boy band,2017,56
227,Thalia Erlandson,Simferopol,Malina Diogenes,barbadian pop,2009,69
228,Mary Francene,Pago Pago,Ashlee Suk,edm,2004,21
229,Dulcinea Cleo,Nagoya,Shaylyn Trinetta,edm,2017,49
230,Loree Madelene,Cape Town,Livvyy Wallis,electropop,2002,73
231,Roslyn Moina,Montreal,Tilly Clywd,electropop,2015,80
232,Adelle Medrek,Rabi Island,Demetris Cavan,hip pop,2002,48
233,Alisha Elephus,Kaesong,Gusty Leonard,latin,2022,59
234,Adore Deegan,Kolkata,Madeleine Rosemary,electropop,2019,64
235,Dulcinea Jess,Montreal,Corina Berriman,dance pop,2014,35
236,Bernardine Macey,Lucknow,Eolanda Egbert,electropop,2017,56
237,Felice Lewes,Rome,Valli Ade,big room,2014,67
238,Roslyn Carri,Lima,Edith Alice,edm,2022,73
239,Zondra Ranjiv,Buenos Aires,Atlanta Cloris,hip pop,2014,75
240,Laure Ries,Niamey,Angela Charity,hip pop,2004,39
241,Lauryn Pascia,Santa Cruz de la Sierra,Roz Susannah,british soul,2021,66
242,Sara-Ann Gale,La Paz,Christal Evangelia,pop,2019,32
243,Linet Sekofski,Ljubljana,Codie Graig,electropop,2021,59
244,Sybille Isidore,Luxor,Lyssa Christal,barbadian pop,2017,30
245,Kathi Baylor,Castries,Etta Taam,big room,2011,39
246,Lelah Justinn,Riga,Carolina Baylor,latin,2012,41
247,Mady Radu,Angra do Heroísmo,Ekaterina Pip,pop,1999,33
248,Alyssa Shanley,London,Florencia Crudden,art pop,2013,70
249,Gertrud Bertold,San Diego,Malina Wittie,canadian pop,2020,35
250,Chere Vacuva,Christchurch,Zia Abram,edm,1999,31
251,Anallese Susannah,Kawasaki,Gwenneth Remmer,electropop,2012,34
252,Reeba Nore,Birmingham,Lulita Berriman,art pop,2009,52
253,Yolane Suk,Makati City,Annabela Jaylene,latin,2015,44
254,Cherrita Mintz,South Tarawa,Louella Plato,boy band,2003,52
255,Carol-Jean Kazimir,Manchester,Kimberley Truc,british soul,2000,73
256,Mahalia Giule,Chicago,Amara Brenn,hip pop,2012,35
257,Helena Dahlia,Medina,Corina Ioab,dance pop,2016,74
258,Tracey Drisko,Oslo,Paola Magdalen,dance pop,2007,62
259,Jean Fosque,Cebu City,Merry Roscoe,art pop,2007,75
260,Ann-Marie Raffo,Ciudad del Este,Madalyn Rebecka,electropop,2017,26
261,Lexine Ferino,Faisalabad,Nita Ranjiv,hip pop,2013,75
262,Gui Johanna,Tijuana,Tilly Alarise,pop,2015,74
263,Leontine Claudine,Davao City,Elsie Madelene,canadian contemporary r&b,2016,71
264,Florencia Adamsen,Amsterdam,Rochette Lilybelle,canadian contemporary r&b,2015,63
265,Loree Leffen,Freetown,Tobe Ammann,art pop,1999,61
266,Dominga Pozzy,Yogyakarta (city),Dagmar Tyson,pop,2009,46
267,Christal Milde,Samara,Phylis Ingra,art pop,2004,79
268,Linet Meli,Tokyo,Cristabel Angelis,canadian contemporary r&b,2020,52
269,Drucie Imelida,Alofi,Tobe Hashim,big room,2004,52
270,Dorice Lynn,Tskhinvali,Trudie Heidt,hip pop,2004,81
271,Marti Marlie,Jerusalem,Gianina Shaver,barbadian pop,2016,58
272,Gale Barrus,Ipoh,Felice Korey,barbadian pop,2003,44
273,Aaren Yorick,Tehran,Kerrin Papageno,big room,2003,50
274,Ekaterina Stephie,Kigali,Lynde Zuzana,latin,2017,73
275,Shell Ursulette,Belém,Aurore Avi,big room,2017,64
276,Letizia Stover,Labasa,Lorenza Seessel,latin,2022,64
277,Alisha Larochelle,Port-au-Prince,Roberta Cristi,british soul,2007,41
278,Aimil Fredi,Xining,Tamqrah Mallon,british soul,2000,77
279,Jany Merat,Manila,Tarra Riva,edm,2000,65
280,Marti Latini,Paramaribo,Caressa Wilkinson,canadian pop,2015,49
281,Stevana Adore,Pittsburgh,Winny Shields,latin,2013,56
282,Tilly Thunell,Fairbanks,Sabina Saint,boy band,2017,63
283,Winny Anyah,Porto,Ellette McClimans,electropop,2008,22
284,Sandie Sperling,Zanzibar City,Ardys Luhe,pop,2010,58
285,Oona Kelula,Cockburn Town,Madeleine Raseda,boy band,2018,73
286,Myrtice Lilas,Tokyo,Margette Robertson,electropop,1999,53
287,Kristan Persse,Lucknow,Ira Naashom,barbadian pop,2000,49
288,Amara Barrus,Xi'an,Mahalia Madelene,canadian contemporary r&b,2009,43
289,Gilda Corilla,Perm,Dede Ailyn,canadian contemporary r&b,2005,45
290,Cherrita Lay,Guwahati,Rosaline Edee,boy band,2014,39
291,Carmencita Hollingsworth,Djibouti (city),Leona Berriman,british soul,2017,71
292,Vonny Wesle,Nantes,Meriel Tyson,canadian contemporary r&b,2005,61
293,Evita Payson,Milwaukee,Hayley Chobot,hip pop,2007,37
294,Elora Gavrila,Ushuaia,Gwyneth Crudden,canadian contemporary r&b,2001,41
295,Nicoli Adore,Cape Town,Gaylene Giff,dance pop,2021,53
296,Pollyanna Winnick,Majuro,Cindelyn Maryanne,latin,2001,80
297,Hannis Sherfield,Podgorica,Alejandra Armanda,canadian contemporary r&b,2008,19
298,Elise Joni,Bulawayo,Cissiee Klemperer,british soul,2005,44
299,Jessy Longfellow,Monaco,Carilyn Anastatius,art pop,2012,51
300,Felice Llovera,Vientiane,Lorie Dom,dance pop,2013,38
301,Carolina Verger,Tamale,Liana Cadmar,barbadian pop,2016,26
302,Ada Dielu,Basse-Terre,Oralee Rubie,british soul,2013,57
303,Margarette Ursulette,Kiev,Ardys Daegal,electropop,2006,32
304,Mariele Joseph,Libreville,Chandra Braun,hip pop,2013,41
305,Emma Norvol,Calgary,Valeda Melan,canadian contemporary r&b,2006,60
306,Elbertina Ashely,Zapopan,Chere Ilka,canadian pop,2005,39
307,Tani Peti,Bishkek,Verla Kenwood,hip pop,1999,54
308,Carmela Ramona,Dunedin,Rosene Cullin,electropop,1999,72
309,Melisent Philoo,Yellowknife,Sara-Ann Mintz,hip pop,2003,53
310,Fred Rheingold,Santiago,Sonni Sophronia,dance pop,2003,30
311,Teddie Milson,Sana'a,Romona Ries,edm,2022,25
312,Brietta Klotz,Tijuana,Candy Stover,dance pop,2001,32
313,Camile Yam,Managua,Alejandra Aloise,dance pop,1999,65
314,Perry Arvo,Rome,Ellette Rillings,canadian pop,2006,59
315,Beatriz Pyle,Port Vila,Melodie Gaynor,british soul,2000,23
316,Arabel Dreda,Bridgetown,Michaelina Cyrie,pop,2002,46
317,Mellicent Maxi,Beijing,Ardeen Brunell,boy band,2008,66
318,Kathi Fleeta,Cardiff,Aigneis Sallyann,art pop,2022,35
319,Kayla Imelida,Recife,Yetty Plato,art pop,2015,28
320,Tonia Jorgan,Rio Branco,Tersina Sibyls,british soul,2005,43
321,Liana Nance,Bangkok,Clementine Kat,british soul,2006,42
322,Jenilee Erminia,Philadelphia,Tomasina Nelsen,pop,2010,52
323,Blondelle Kauppi,Tiraspol,Luci Stacy,canadian pop,2016,40
324,Mallory Khorma,Tijuana,Marti Screens,boy band,2021,51
325,Carolina Pyle,Fredericton,Jere Salchunas,art pop,2019,63
326,Katharina Baudin,Papeete,Tori Joeann,edm,2008,52
327,Barbi Stilwell,Hanover,Aurore Oneida,dance pop,2008,48
328,Albertina Shaddock,Valdivia,Konstance Travax,barbadian pop,1999,37
329,Jolyn Hortensia,Tegucigalpa,Yetty Garlinda,canadian contemporary r&b,2019,79
330,Nelle Kussell,San Carlos de Bariloche,Frances Joeann,canadian contemporary r&b,2000,32
331,Florie Bakerman,Las Vegas,Emylee Darian,art pop,2018,62
332,Joceline Blake,Lhasa,Marti Infield,pop,2002,45
333,Quintina Monk,Belgrade,Lyssa Michella,boy band,2007,76
334,Jasmina Martguerita,Zamboanga City,Caritta Denis,hip pop,2007,64
335,Penelopa Blake,Cleveland,Melina Harl,canadian pop,2016,36
336,Zaria Lalitta,Fairbanks,Angelique Sigfrid,canadian pop,2006,20
337,Stephanie Myrilla,Buenos Aires,Sue Roche,big room,2011,25
338,Molli Torray,Moroni,Debee Caitlin,edm,2010,18
339,Asia Lemuela,Houston,Candi Adamsen,boy band,2008,65
340,Elise Diogenes,Quezon City,Carree Morgun,canadian pop,2021,27
341,Aimil Fairweather,Nakhon Ratchasima,Ruthe Yate,neo mellow,2002,54
342,Elfreda Saint,Lusaka,Elsie Klotz,canadian contemporary r&b,2022,19
343,Lenna Lemuela,Tampa,Doralynne Orelee,dance pop,2019,40
344,Lorie Bryna,Semarang,Roxane Hessler,neo mellow,1999,23
345,June Ovid,Macapá,Lauryn Ietta,edm,2014,50
346,Deedee Rogerio,Aberdeen,June Brackely,dance pop,2018,61
347,Ivett Noelyn,Road Town,Elie Sophronia,pop,2004,25
348,Betta Tomasina,Santiago,Cathyleen Heisel,dance pop,2014,32
349,Ottilie Azeria,Sukhumi,Marsiella Blake,edm,2013,79
350,Lisette Alisia,Yerevan,Janenna Terencio,canadian pop,2019,31
351,Chere Edmund,Kaesong,Harrietta Cimbura,dance pop,2021,60
352,Ronna Armanda,Xi'an,Halette Kenwood,british soul,2006,21
353,Dorene Curren,Makati City,Minda Girardo,electropop,2009,62
354,Constance Han,Lviv,Candy Vale,dance pop,2004,62
355,Audrie Nadia,Cusco,Katharina Faust,canadian pop,2022,29
356,Felice Keily,Malé,Sam Gavrila,electropop,2006,59
357,Amelia Berne,Pune,Rani Marden,big room,2001,20
358,Sissy Nedrud,Pittsburgh,Lucille Amadas,canadian pop,2021,77
359,Daryl Avi,New York City,Gloria Koziara,neo mellow,2018,36
360,Marnia Schalles,Dededo,Patricia Morgun,big room,2000,55
361,Tressa Tamsky,Frankfurt,Jaclyn Justinn,barbadian pop,2010,55
362,Morganica Dielu,Salt Lake City,Raina Ehrman,boy band,2016,30
363,Tamqrah Lilybelle,Rabat,Ivett Colyer,art pop,2016,30
364,Annaliese Gwenore,Kandahar,Cherilyn Bates,boy band,2002,59
365,Chandra Tayib,Horta (Azores),Emylee Sholley,electropop,2006,49
366,Carol-Jean Hirsch,Shenyang,Ilse Uund,british soul,2003,47
367,Suzette Dyche,Hyderabad,Addia Sothena,edm,2019,38
368,Clo Adrienne,Porto,Pearline Tayib,dance pop,2000,49
369,Brandise Zeeba,Yamoussoukro,Molli Chapland,art pop,2000,46
370,Aigneis Wooster,El Aaiún,Selia Brodench,canadian pop,2004,61
371,Laurene Toor,Guadalajara,Rani Land,dance pop,2003,49
372,Belva Honoria,Alor Star,Allis Elvyn,barbadian pop,2002,59
373,Tamqrah Salvidor,Shenzhen,Lulita McGrody,latin,2002,21
374,Jorry Harl,Medina,Susan Hashim,barbadian pop,2014,48
375,Alleen Tristram,Makassar,Maurene Aida,pop,2005,49
376,Clarice Macey,Milan,Vinita Geffner,hip pop,2016,55
377,Basia Timon,Milan,Bernardine Jeanne,pop,2001,75
378,Arlena Gabrielli,Providence,Thalia Aaberg,boy band,2018,25
379,Ericka Annice,Invercargill,Teddie Corabella,hip pop,2010,75
380,Myrtice Loring,Dresden,Ardenia Edison,electropop,2013,38
381,Chere Grayce,Mwanza,Sheree Stover,edm,2010,66
382,Mellicent Sperling,São José dos Campos,Melanie Krystle,boy band,2020,48
383,Deane Felizio,Dibrugarh,Marcelline Jenness,art pop,2006,76
384,Queenie Shelba,San Antonio,Ardeen Euridice,canadian contemporary r&b,2017,33
385,Valli Aldric,Kandy,Kirbee Bow,big room,2011,32
386,Mellicent Hazlett,Dubai,Jacquetta Hanshaw,british soul,2001,26
387,Dari Regan,Vienna,Esmeralda Dowski,hip pop,2009,32
388,Kittie Simmonds,Port Louis,Gaylene Jobi,latin,2015,30
389,Natka Warthman,Douglas,Leia Lipson,dance pop,2003,53
